Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C19, C9",0603,4,1uf,
"C10, C11, C14, C15, C20, C21",0805,6,4.7μF,
"C12, C25, C26",0805,3,22μF,
"C16, C22",CP_Radial_D5.0mm_P2.00mm,2,22uf,
"C17, C2, C3, C4, C5, C7, C8",0603,7,0.1uF,
C18,0603,1,4.7uF,
"C23, C24",0603,2,0.1μF,
C6,0805,1,4.7uf,
"D1, D2, D3",D_SOD-323_HandSoldering,3,D_Shockley,
"D4, D5, D6, D7, D8",D_SOD-323F,5,D,
"J1, J2, J3, J4, J5, J6, J7",JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,7,Conn_01x03_Pin,
J10,PinHeader_2x07_P1.27mm_Vertical,1,Conn_ST_STDC14,
"J11, J14",USB_C_Receptacle_Palconn_UTC16-G,2,USB_C_Receptacle_USB2.0_14P,
"J12, J13, J17, J18, J19, J20, J21",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,7,Conn_01x02_Socket,
"J8, J9",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
"Q1, Q2, Q3, Q4, Q5",SOT-23_Handsoldering,5,Q_NMOS_GSD,
"R1, R2, R7, R8",0603,4,5.1k,
"R10, R11, R14, R15, R17, R18, R20, R21, R23, R24, R26, R27, R3, R4, R5, R9",0805,16,10k,
"R13, R16, R19, R22, R25",0603,5,330,
R6,0603,1,120,
"SW2, SW3, SW4, SW6, SW7",SW_Push_SPST_NO_Alps_SKRK,5,SW_Push,
SW5,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_DPDT_x2,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBTx,
"U10, U11, U12, U13, U9",DIP-4_W7.62mm,5,TLP785,
"U2, U4, U7",TO-252-2,3,BD33FC0FP,
"U3, U6",ESP32-C3-WROOM-02,2,ESP32-C3-WROOM-02,
U5,XCVR_TCAN3414DRBR,1,TCAN3414DRBR,
