Designator,Mid X,Mid Y,Rotation,Layer
C1,47.1159,-33.2475,270.0,bottom
C10,33.0285,-16.4972,180.0,bottom
C11,33.0324,-21.2724,180.0,bottom
C12,33.0285,-23.2536,180.0,bottom
C13,51.8171,-6.985,0.0,bottom
C14,60.7946,-0.8636,180.0,bottom
C15,60.9893,-2.5908,180.0,bottom
C16,76.6203,-17.0647,270.0,bottom
C17,72.0737,-17.0432,270.0,bottom
C18,68.171,-17.1845,270.0,top
C19,26.0129,-70.3996,0.0,bottom
C2,37.846,-28.194,270.0,bottom
C20,26.0129,-68.9264,0.0,bottom
C21,97.1804,-20.5751,90.0,bottom
C22,97.8777,-28.1686,0.0,bottom
C23,97.3827,-26.2382,0.0,bottom
C24,80.394,-41.2496,0.0,bottom
C25,80.2425,-36.5738,0.0,bottom
C26,80.3643,-32.64,180.0,top
C3,41.3258,-34.0371,90.0,bottom
C4,49.149,-33.2475,90.0,bottom
C5,48.3605,-27.432,0.0,bottom
C6,36.068,-28.194,270.0,bottom
C7,42.4942,-27.0256,180.0,bottom
C8,46.7879,-38.6334,180.0,bottom
C9,46.7879,-40.1066,180.0,bottom
D1,32.3666,-18.8594,0.0,bottom
D2,74.6899,-17.165,270.0,bottom
D3,80.9743,-39.0122,0.0,bottom
D4,80.8404,-90.0938,180.0,bottom
D5,69.977,-89.535,180.0,bottom
D6,59.2406,-89.9668,180.0,bottom
D7,49.0806,-90.0176,180.0,bottom
D8,38.905,-89.8144,180.0,bottom
H1,4.0,-4.0,0.0,top
H2,4.0,-96.0,0.0,top
H3,96.0,-4.0,0.0,top
H4,96.0,-96.0,0.0,top
J1,7.3068,-64.175,270.0,top
J10,92.78,-76.16,270.0,top
J11,35.56,-8.606,0.0,top
J12,54.61,-19.05,270.0,top
J13,95.2052,-12.731,90.0,top
J14,81.534,-22.8292,90.0,top
J15,29.19,-92.075,0.0,top
J16,18.415,-92.13,0.0,top
J17,95.137,-62.2554,90.0,top
J18,72.6948,-45.7792,0.0,top
J19,80.66,-92.329,0.0,top
J2,17.145,-64.175,270.0,top
J20,69.865,-92.329,0.0,top
J21,59.07,-92.329,0.0,top
J22,48.93,-92.329,0.0,top
J23,38.755,-92.202,0.0,top
J3,20.32,-7.565,180.0,top
J4,17.145,-17.895,270.0,top
J5,7.565,-17.74,270.0,top
J6,17.145,-34.365,270.0,top
J7,7.62,-34.29,270.0,top
J8,7.565,-50.165,270.0,top
J9,7.55,-80.01,90.0,top
JP1,83.185,-12.7,270.0,top
JP2,81.4315,-50.165,270.0,top
Q1,80.43,-85.1177,180.0,top
Q2,69.635,-85.1177,180.0,top
Q3,58.84,-85.1177,180.0,top
Q4,48.68,-85.1177,180.0,top
Q5,38.505,-85.1177,180.0,top
R1,96.1428,-13.97,180.0,bottom
R10,95.7307,-44.8075,90.0,bottom
R11,89.6855,-29.3881,270.0,bottom
R12,82.8498,-80.3952,90.0,bottom
R13,78.755,-79.7056,270.0,bottom
R14,78.755,-85.1177,270.0,bottom
R15,71.6684,-80.3952,90.0,bottom
R16,67.96,-79.6802,270.0,bottom
R17,67.96,-85.1177,270.0,bottom
R18,61.082,-80.3952,90.0,bottom
R19,57.2974,-79.6802,270.0,bottom
R2,96.1155,-10.9728,180.0,bottom
R20,57.2974,-85.1177,270.0,bottom
R21,50.7388,-80.3952,90.0,bottom
R22,46.9796,-79.6802,270.0,bottom
R23,46.9796,-85.1177,270.0,bottom
R24,40.6654,-80.391,90.0,bottom
R25,36.83,-79.6544,270.0,bottom
R26,36.83,-85.1412,270.0,bottom
R3,57.9882,-1.7526,90.0,bottom
R4,75.9961,-3.8335,0.0,bottom
R5,60.9047,-9.8279,180.0,bottom
R6,25.1531,-75.127,0.0,bottom
R7,95.3497,-63.5,180.0,bottom
R8,95.3497,-60.5028,180.0,bottom
R9,97.8935,-29.8958,180.0,bottom
SW1,28.194,-26.0432,90.0,top
SW2,52.07,-6.985,0.0,top
SW3,51.875,-3.175,0.0,top
SW4,22.0016,-75.1524,90.0,top
SW5,95.25,-21.59,90.0,top
SW6,90.17,-21.59,270.0,top
U1,45.3905,-31.161,270.0,top
U10,59.2278,-80.0427,180.0,top
U11,48.905,-80.0377,180.0,top
U12,38.675,-80.0377,180.0,top
U2,37.539,-18.8788,0.0,top
U3,68.466,-6.8281,0.0,top
U4,74.4673,-21.5713,270.0,top
U5,25.4,-71.8474,270.0,top
U6,92.7225,-36.9722,270.0,top
U7,75.8845,-38.9646,180.0,top
U8,80.64,-80.0427,180.0,top
U9,69.865,-80.0377,180.0,top
